num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,0,0,0,0,123,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
50,100,5,1,4,3,123,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
100,100,4,1,3,3,123,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
200,100,4,1,3,3,123,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
