num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,7,6,1,0,130,../mmdetection/configs/ssd/ssd512_coco.py,untarget,ground_truth,perturb_inside
50,100,15,11,4,0,130,../mmdetection/configs/ssd/ssd512_coco.py,untarget,ground_truth,perturb_inside
100,100,16,10,6,0,130,../mmdetection/configs/ssd/ssd512_coco.py,untarget,ground_truth,perturb_inside
200,100,13,10,3,0,130,../mmdetection/configs/ssd/ssd512_coco.py,untarget,ground_truth,perturb_inside
