num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,10,10,0,0,141,../mmdetection/configs/ssd/ssd512_coco.py,vanish,ground_truth,perturb_inside
50,100,28,28,0,0,141,../mmdetection/configs/ssd/ssd512_coco.py,vanish,ground_truth,perturb_inside
100,100,31,31,0,0,141,../mmdetection/configs/ssd/ssd512_coco.py,vanish,ground_truth,perturb_inside
200,100,31,31,0,0,141,../mmdetection/configs/ssd/ssd512_coco.py,vanish,ground_truth,perturb_inside
