num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,4,2,2,2,148,../mmdetection/configs/ssd/ssd512_coco.py,mislabel,ground_truth,perturb_inside
50,100,16,2,14,14,148,../mmdetection/configs/ssd/ssd512_coco.py,mislabel,ground_truth,perturb_inside
100,100,19,2,17,17,148,../mmdetection/configs/ssd/ssd512_coco.py,mislabel,ground_truth,perturb_inside
200,100,18,3,15,15,148,../mmdetection/configs/ssd/ssd512_coco.py,mislabel,ground_truth,perturb_inside
