num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,12,8,4,3,127,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,mislabel,ground_truth,perturb_inside
50,100,19,7,12,11,127,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,mislabel,ground_truth,perturb_inside
100,100,25,8,17,16,127,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,mislabel,ground_truth,perturb_inside
200,100,28,10,18,17,127,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,mislabel,ground_truth,perturb_inside
