num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,5,2,3,3,128,../mmdetection/configs/cascade_rcnn/cascade_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
50,100,5,1,4,4,128,../mmdetection/configs/cascade_rcnn/cascade_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
100,100,6,1,5,5,128,../mmdetection/configs/cascade_rcnn/cascade_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
200,100,8,1,7,7,128,../mmdetection/configs/cascade_rcnn/cascade_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
