num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,3,2,1,0,121,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,untarget,ground_truth,perturb_inside
50,100,9,9,0,0,121,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,untarget,ground_truth,perturb_inside
100,100,11,10,1,0,121,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,untarget,ground_truth,perturb_inside
200,100,12,11,1,0,121,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,untarget,ground_truth,perturb_inside
