num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,1,0,1,1,126,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
50,100,3,1,2,2,126,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
100,100,3,0,3,3,126,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
200,100,3,0,3,3,126,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
