num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,7,6,1,0,131,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,vanish,ground_truth,perturb_inside
50,100,19,18,1,0,131,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,vanish,ground_truth,perturb_inside
100,100,24,24,0,0,131,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,vanish,ground_truth,perturb_inside
200,100,25,25,0,0,131,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,vanish,ground_truth,perturb_inside
