num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,6,4,2,2,128,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
50,100,6,2,4,4,128,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
100,100,7,2,5,5,128,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
200,100,6,1,5,5,128,../mmdetection/configs/faster_rcnn/faster_rcnn_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
