num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,6,6,0,0,125,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
50,100,10,9,1,0,125,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
100,100,11,10,1,0,125,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
200,100,15,14,1,0,125,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
