num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,8,5,3,0,137,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
50,100,11,7,4,0,137,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
100,100,8,5,3,0,137,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
200,100,10,6,4,0,137,../mmdetection/configs/yolo/yolov3_d53_mstrain-608_273e_coco.py,untarget,ground_truth,perturb_inside
