num_iteration,attack_count,success_count,vanish_count,mislabel_count,mislabel_intended_count,sample_count,model_name,loss_target,attack_bbox,perturb_fun
10,100,1,0,1,1,125,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
50,100,4,0,4,3,125,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
100,100,4,0,4,4,125,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
200,100,5,0,5,5,125,../mmdetection/configs/retinanet/retinanet_r50_fpn_1x_coco.py,mislabel,ground_truth,perturb_inside
